,tweet_text,tokenized_text,Subjectivity,polarity,nb_pronouns,nb_numerals,nb_exclm,nb_ques,count_modal_verbs,count_wh_words,nb_slang,label
10,RT @neilkusens: Big thanks to @RepSwalwell and Gabriel for the help today with our stranded friends in Cabo.  Major props!  #Odile,"['RT', '@', 'neilkusens', ':', 'Big', 'thanks', '@', 'RepSwalwell', 'Gabriel', 'help', 'today', 'stranded', 'friends', 'Cabo', '.', 'Major', 'props', '!', '#', 'Odile']",0.26666666666666666,0.09270833333333334,1,0,1,0,0,0,0,missing_trapped_or_found_people
11,[UT world] Weakening Odile pushes up Mexico's Baja California: About 30000 tourists are in temporary shelters... http://t.co/K91nJOQzYW,"['[', 'UT', 'world', ']', 'Weakening', 'Odile', 'pushes', 'Mexico', ""'s"", 'Baja', 'California', ':', 'About', '30000', 'tourists', 'temporary', 'shelters', '...', 'http', ':', '//t.co/K91nJOQzYW']",0.0,0.0,0,1,0,0,0,0,0,displaced_people_and_evacuations
12,Some heartbreaking  damage photos from Cabo San Lucas..Being near the eyewall of a major hurricane will do that. Should never be wished upon,"['Some', 'heartbreaking', 'damage', 'photos', 'Cabo', 'San', 'Lucas', '..', 'Being', 'near', 'eyewall', 'major', 'hurricane', '.', 'Should', 'never', 'wished', 'upon']",0.45,0.08125,0,0,0,0,1,0,0,infrastructure_and_utilities_damage
13,RT @Lawsonbulk: Residents Tourists Sent to Shelters as Hurricane Odile Makes Landfall - ABC News http://t.co/6UCrVd7BOy,"['RT', '@', 'Lawsonbulk', ':', 'Residents', 'Tourists', 'Sent', 'Shelters', 'Hurricane', 'Odile', 'Makes', 'Landfall', '-', 'ABC', 'News', 'http', ':', '//t.co/6UCrVd7BOy']",0.0,0.0,0,0,0,0,0,0,0,displaced_people_and_evacuations
14,A Path of Hurricane Odile's Destruction Seen Through Instagram http://t.co/ayuzWAv3xv #popopgo #smm,"['A', 'Path', 'Hurricane', 'Odile', ""'s"", 'Destruction', 'Seen', 'Through', 'Instagram', 'http', ':', '//t.co/ayuzWAv3xv', '#', 'popopgo', '#', 'smm']",0.0,0.0,0,0,0,0,0,0,0,infrastructure_and_utilities_damage
15,#juan_starz A Path of Hurricane Odile's Destruction Seen Through Instagram: Hurricane Odile cam... http://t.co/mK6nbk7dhK #danilo_starz,"['#', 'juan_starz', 'A', 'Path', 'Hurricane', 'Odile', ""'s"", 'Destruction', 'Seen', 'Through', 'Instagram', ':', 'Hurricane', 'Odile', 'cam', '...', 'http', ':', '//t.co/mK6nbk7dhK', '#', 'danilo_starz']",0.0,0.0,0,0,0,0,0,0,0,other_useful_information
16,RT @EDDUESS: #HurricaneODILE praying for the citizens of Cabo who may not have been as lucky to have a secure hotel to keep shelter in,"['RT', '@', 'EDDUESS', ':', '#', 'HurricaneODILE', 'praying', 'citizens', 'Cabo', 'may', 'lucky', 'secure', 'hotel', 'keep', 'shelter']",0.7166666666666667,0.3666666666666667,0,0,0,0,1,0,0,sympathy_and_emotional_support
17,RT @StellaInger: Odile is dumping a lot of rain on Mexico. Cabo San Lucas Airport heavily damaged. http://t.co/P8948G7nhX,"['RT', '@', 'StellaInger', ':', 'Odile', 'dumping', 'lot', 'rain', 'Mexico', '.', 'Cabo', 'San', 'Lucas', 'Airport', 'heavily', 'damaged', '.', 'http', ':', '//t.co/P8948G7nhX']",0.5,-0.2,0,0,0,0,0,0,0,infrastructure_and_utilities_damage
18,#LosCabos airport shut until Oct. 8 because of Hurricane #Odile damage; many hotels hope to reopen in mid/late Oct. http://t.co/8Suzrn19Dm,"['#', 'LosCabos', 'airport', 'shut', 'Oct.', '8', 'Hurricane', '#', 'Odile', 'damage', ';', 'many', 'hotels', 'hope', 'reopen', 'mid/late', 'Oct.', 'http', ':', '//t.co/8Suzrn19Dm']",0.5,0.5,0,1,0,0,0,0,0,other_useful_information
19,RT @Associa: 2:45 PM CT Associa Mexico Realty Services UPDATE No. 1 #hurricaneodile #Odile http://t.co/lDQkEuHxB7,"['RT', '@', 'Associa', ':', '2:45', 'PM', 'CT', 'Associa', 'Mexico', 'Realty', 'Services', 'UPDATE', 'No', '.', '1', '#', 'hurricaneodile', '#', 'Odile', 'http', ':', '//t.co/lDQkEuHxB7']",0.0,0.0,0,1,0,0,0,0,0,other_useful_information
20,A Path of Hurricane Odile's Destruction Seen Through Instagram: Hurricane Odile came ashore over Ca... http://t.co/JfQsf3WV9K #ideaTick,"['A', 'Path', 'Hurricane', 'Odile', ""'s"", 'Destruction', 'Seen', 'Through', 'Instagram', ':', 'Hurricane', 'Odile', 'came', 'ashore', 'Ca', '...', 'http', ':', '//t.co/JfQsf3WV9K', '#', 'ideaTick']",0.0,0.0,0,0,0,0,0,0,0,other_useful_information
21,WOW Holidaymakers take shelter after #Mexico is battered by Hurricane Odile http://t.co/0dVHghtwca via @MailOnline,"['WOW', 'Holidaymakers', 'take', 'shelter', '#', 'Mexico', 'battered', 'Hurricane', 'Odile', 'http', ':', '//t.co/0dVHghtwca', 'via', '@', 'MailOnline']",1.0,0.1,0,0,0,0,0,0,0,displaced_people_and_evacuations
22,Cabo News | First images of damage caused by Odile |: http://t.co/coGaMVECBq,"['Cabo', 'News', '|', 'First', 'images', 'damage', 'caused', 'Odile', '|', ':', 'http', ':', '//t.co/coGaMVECBq']",0.3333333333333333,0.25,0,0,0,0,0,0,0,infrastructure_and_utilities_damage
23,Prayers and thoughts with the people of Cabo as they deal with the devastation from Hurricane Odile.   I just... http://t.co/9dcOGGob9R,"['Prayers', 'thoughts', 'people', 'Cabo', 'deal', 'devastation', 'Hurricane', 'Odile', '.', 'I', '...', 'http', ':', '//t.co/9dcOGGob9R']",0.0,0.0,2,0,0,0,0,0,0,sympathy_and_emotional_support
24,#HurricaneOdile Relief // Mulege | Help our neighbors get back on track in #mulege and #santarosalia http://t.co/EV4inieL82 via @gofundme,"['#', 'HurricaneOdile', 'Relief', '//', 'Mulege', '|', 'Help', 'neighbors', 'get', 'back', 'track', '#', 'mulege', '#', 'santarosalia', 'http', ':', '//t.co/EV4inieL82', 'via', '@', 'gofundme']",0.0,0.0,1,0,0,0,0,0,0,donation_needs_or_offers_or_volunteering_services
25,@ChrisKTLA @KTLAMorningNews #HurricaneODILE how bad is the damage in Cabo? Hope everyone is OK. Supposed to go for vacation in December.,"['@', 'ChrisKTLA', '@', 'KTLAMorningNews', '#', 'HurricaneODILE', 'bad', 'damage', 'Cabo', '?', 'Hope', 'everyone', 'OK', '.', 'Supposed', 'go', 'vacation', 'December', '.']",0.5833333333333333,-0.09999999999999992,0,0,0,1,0,0,0,infrastructure_and_utilities_damage
26,More detail coming out re impact of Hurricane Odile and damaged / missing boats. http://t.co/5Uk8cCpJ1y,"['More', 'detail', 'coming', 'impact', 'Hurricane', 'Odile', 'damaged', '/', 'missing', 'boats', '.', 'http', ':', '//t.co/5Uk8cCpJ1y']",0.275,0.15,0,0,0,0,0,0,0,infrastructure_and_utilities_damage
27,RT @SSinArkansas: Horrible. This is the resort we evacuated from - Grand Solmar. Restaurant damaged. Half of pool in the ocean. #Odile http…,"['RT', '@', 'SSinArkansas', ':', 'Horrible', '.', 'This', 'resort', 'evacuated', '-', 'Grand', 'Solmar', '.', 'Restaurant', 'damaged', '.', 'Half', 'pool', 'ocean', '.', '#', 'Odile', 'http…']",0.7222222222222222,-0.2222222222222222,1,0,0,0,0,0,0,infrastructure_and_utilities_damage
28,Damage across Cabo San Lucas including Los Cabos Internat'l Airport from Hurricane #Odile... via Twitter http://t.co/yZ5jpSFFPr,"['Damage', 'across', 'Cabo', 'San', 'Lucas', 'including', 'Los', 'Cabos', 'Internat', ""'"", 'l', 'Airport', 'Hurricane', '#', 'Odile', '...', 'via', 'Twitter', 'http', ':', '//t.co/yZ5jpSFFPr']",0.0,0.0,0,0,0,0,0,0,0,infrastructure_and_utilities_damage
29,#PLEASE HELP victims of Hurricane Odile by donating to Fundacion Sarahuaro http://t.co/BGZgZQMSfI… http://t.co/Fa2ogOvHgg,"['#', 'PLEASE', 'HELP', 'victims', 'Hurricane', 'Odile', 'donating', 'Fundacion', 'Sarahuaro', 'http', ':', '//t.co/BGZgZQMSfI…', 'http', ':', '//t.co/Fa2ogOvHgg']",0.0,0.0,0,0,0,0,0,0,0,donation_needs_or_offers_or_volunteering_services
30,Major disruptions to #travel power supply and service #Mexico Baja California due hurricane #Odile  SJD &amp; LAD airports extensive damage,"['Major', 'disruptions', '#', 'travel', 'power', 'supply', 'service', '#', 'Mexico', 'Baja', 'California', 'due', 'hurricane', '#', 'Odile', 'SJD', '&', 'amp', ';', 'LAD', 'airports', 'extensive', 'damage']",0.40277777777777773,-0.020833333333333332,0,0,0,0,0,0,0,infrastructure_and_utilities_damage
31,Hurricane Odile Slams Baja California; Extensive Damage Power Outages ... - The Weather Channel http://t.co/AEbnHDkAB3,"['Hurricane', 'Odile', 'Slams', 'Baja', 'California', ';', 'Extensive', 'Damage', 'Power', 'Outages', '...', '-', 'The', 'Weather', 'Channel', 'http', ':', '//t.co/AEbnHDkAB3']",0.3333333333333333,0.0,0,0,0,0,0,0,0,infrastructure_and_utilities_damage
32,RT @HurricaneChanel: Las Cabos International Airport in Cabo San Lucas reportedly closed until Sept. 22 due to damage from Hurricane Odile …,"['RT', '@', 'HurricaneChanel', ':', 'Las', 'Cabos', 'International', 'Airport', 'Cabo', 'San', 'Lucas', 'reportedly', 'closed', 'Sept.', '22', 'due', 'damage', 'Hurricane', 'Odile', '…']",0.15833333333333333,-0.075,0,1,0,0,0,0,0,infrastructure_and_utilities_damage
33,Mashable:A Path of Hurricane Odile's Destruction Seen Through Instagram: Hurricane Odile came ashore over Cab... http://t.co/CKw7D72AUk,"['Mashable', ':', 'A', 'Path', 'Hurricane', 'Odile', ""'s"", 'Destruction', 'Seen', 'Through', 'Instagram', ':', 'Hurricane', 'Odile', 'came', 'ashore', 'Cab', '...', 'http', ':', '//t.co/CKw7D72AUk']",0.0,0.0,0,0,0,0,0,0,0,infrastructure_and_utilities_damage
34,The major flooding with Odile for US will be west of Kathleens which hit so cal sw arizona. Did 160 million damage,"['The', 'major', 'flooding', 'Odile', 'US', 'west', 'Kathleens', 'hit', 'cal', 'sw', 'arizona', '.', 'Did', '160', 'million', 'damage']",0.5,0.0625,0,1,0,0,0,0,0,infrastructure_and_utilities_damage
35,@sammyhagar Are you aware of any honest relief fund in Cabo that donations can be made  The local folks really need us now #HurricaneODILE,"['@', 'sammyhagar', 'Are', 'aware', 'honest', 'relief', 'fund', 'Cabo', 'donations', 'made', 'The', 'local', 'folks', 'really', 'need', 'us', '#', 'HurricaneODILE']",0.33749999999999997,0.2625,2,0,0,0,0,0,0,donation_needs_or_offers_or_volunteering_services
36,Our friends in Cabo need help after hurricane Odile. Your help is appreciated! Thank you! https://t.co/ydM23e7U0T. http://t.co/v3Q1hr7LmR,"['Our', 'friends', 'Cabo', 'need', 'help', 'hurricane', 'Odile', '.', 'Your', 'help', 'appreciated', '!', 'Thank', '!', 'https', ':', '//t.co/ydM23e7U0T', '.', 'http', ':', '//t.co/v3Q1hr7LmR']",0.1,0.3125,3,0,2,0,0,0,0,donation_needs_or_offers_or_volunteering_services
37,RT @GirlFuturist: Just heard from friends who live in Todos Santos who got direct hit from Hurricane Odile. Major damage.,"['RT', '@', 'GirlFuturist', ':', 'Just', 'heard', 'friends', 'live', 'Todos', 'Santos', 'got', 'direct', 'hit', 'Hurricane', 'Odile', '.', 'Major', 'damage', '.']",0.4666666666666666,0.09962121212121211,0,0,0,0,0,0,0,infrastructure_and_utilities_damage
38,Sammy Hagar has canceled his Birthday Bash due to Hurricane Odile causing destruction to Cabo San Lucas Mexico. http://t.co/QnohXeyDwx,"['Sammy', 'Hagar', 'canceled', 'Birthday', 'Bash', 'due', 'Hurricane', 'Odile', 'causing', 'destruction', 'Cabo', 'San', 'Lucas', 'Mexico', '.', 'http', ':', '//t.co/QnohXeyDwx']",0.375,-0.125,1,0,0,0,0,0,0,other_useful_information
39,A Path of Hurricane Odile's Destruction Seen Through Instagram http://t.co/DPgzYYzx8Y vía @Mashable,"['A', 'Path', 'Hurricane', 'Odile', ""'s"", 'Destruction', 'Seen', 'Through', 'Instagram', 'http', ':', '//t.co/DPgzYYzx8Y', 'vía', '@', 'Mashable']",0.0,0.0,0,0,0,0,0,0,0,infrastructure_and_utilities_damage
40,#Cabo RT @RodrigoEBR: First live report on national TV from La Paz after #Odile. No looting at all services ... http://t.co/rZ6OrWj0zF,"['#', 'Cabo', 'RT', '@', 'RodrigoEBR', ':', 'First', 'live', 'report', 'national', 'TV', 'La', 'Paz', '#', 'Odile', '.', 'No', 'looting', 'services', '...', 'http', ':', '//t.co/rZ6OrWj0zF']",0.41666666666666663,0.19318181818181818,0,0,0,0,0,0,0,other_useful_information
41,@Azgurl27 hugs back. :) I brought in a crap load of dirt to help keep the water from flooding behind my house..#Odile,"['@', 'Azgurl27', 'hugs', 'back', '.', ':', ')', 'I', 'brought', 'crap', 'load', 'dirt', 'help', 'keep', 'water', 'flooding', 'behind', 'house', '..', '#', 'Odile']",0.625,-0.17500000000000002,2,0,0,0,0,0,0,not_related_or_irrelevant
42,Prayers go out to everyone in cabo who are stuck because of the hurricane ὢ2❤️,"['Prayers', 'go', 'everyone', 'cabo', 'stuck', 'hurricane', 'ὢ2❤️']",0.0,0.0,0,0,0,0,0,0,0,sympathy_and_emotional_support
43,RT @weathermankeith: Pics of damage to Cabo from #HurricaneODILE appearing. From @ArmandoFigaredo  http://t.co/v1H0iIJ03f  Hoping @SideCG i…,"['RT', '@', 'weathermankeith', ':', 'Pics', 'damage', 'Cabo', '#', 'HurricaneODILE', 'appearing', '.', 'From', '@', 'ArmandoFigaredo', 'http', ':', '//t.co/v1H0iIJ03f', 'Hoping', '@', 'SideCG', 'i…']",0.0,0.0,0,0,0,0,0,0,0,infrastructure_and_utilities_damage
44,Hurricane Odile Timeline: Unprecedented Cyclone Leaves Widespread Damage in Cabo San Lucas Baja California  (The... http://t.co/4VS7bsZ1RQ,"['Hurricane', 'Odile', 'Timeline', ':', 'Unprecedented', 'Cyclone', 'Leaves', 'Widespread', 'Damage', 'Cabo', 'San', 'Lucas', 'Baja', 'California', '(', 'The', '...', 'http', ':', '//t.co/4VS7bsZ1RQ']",0.9,0.6,0,0,0,0,0,0,0,infrastructure_and_utilities_damage
45,Hurricane #Odile heavily damaged parts of the Baja Peninsula. Big flood threat for SW U.S. http://t.co/hMGkKb72BF http://t.co/tFDQajeuAe,"['Hurricane', '#', 'Odile', 'heavily', 'damaged', 'parts', 'Baja', 'Peninsula', '.', 'Big', 'flood', 'threat', 'SW', 'U.S.', 'http', ':', '//t.co/hMGkKb72BF', 'http', ':', '//t.co/tFDQajeuAe']",0.3,-0.1,0,0,0,0,0,0,0,infrastructure_and_utilities_damage
46,Resorts report damage from Hurricane Odile: The Westin Los Cabos and the Sheraton Hacienda del Mar... http://t.co/UmE4NA7Kww #TravelNews,"['Resorts', 'report', 'damage', 'Hurricane', 'Odile', ':', 'The', 'Westin', 'Los', 'Cabos', 'Sheraton', 'Hacienda', 'del', 'Mar', '...', 'http', ':', '//t.co/UmE4NA7Kww', '#', 'TravelNews']",0.0,0.0,0,0,0,0,0,0,0,infrastructure_and_utilities_damage
47,@SamaritansPurse Please post link for donations for #LosCabos #HurricaneODILE Relief,"['@', 'SamaritansPurse', 'Please', 'post', 'link', 'donations', '#', 'LosCabos', '#', 'HurricaneODILE', 'Relief']",0.0,0.0,0,0,0,0,0,0,0,donation_needs_or_offers_or_volunteering_services
48,@JohnKasich Anyone we can reach out to help Ohio relatives stranded in Cabo MX from #HurricaneOdile? Other states setting up email/numbers.,"['@', 'JohnKasich', 'Anyone', 'reach', 'help', 'Ohio', 'relatives', 'stranded', 'Cabo', 'MX', '#', 'HurricaneOdile', '?', 'Other', 'states', 'setting', 'email/numbers', '.']",0.375,-0.125,1,0,0,1,0,0,0,donation_needs_or_offers_or_volunteering_services
49,(09/22) ONE WAY TO HELP ODILE VICTIMS http://t.co/b94lgje6KT click on link and #surf to article,"['(', '09/22', ')', 'ONE', 'WAY', 'TO', 'HELP', 'ODILE', 'VICTIMS', 'http', ':', '//t.co/b94lgje6KT', 'click', 'link', '#', 'surf', 'article']",0.0,0.0,0,0,0,0,0,0,0,donation_needs_or_offers_or_volunteering_services
50,RT @BillieHarris,"['RT', '@', 'BillieHarris']",0.0,0.0,0,0,0,0,0,0,0,displaced_people_and_evacuations
51,(09/22) ONE WAY TO HELP ODILE VICTIMS:  Jon Rose SIMA Aguerre Brothers Surfline and Others Rally humanitarian aid http://t.co/58QVXe9NI2,"['(', '09/22', ')', 'ONE', 'WAY', 'TO', 'HELP', 'ODILE', 'VICTIMS', ':', 'Jon', 'Rose', 'SIMA', 'Aguerre', 'Brothers', 'Surfline', 'Others', 'Rally', 'humanitarian', 'aid', 'http', ':', '//t.co/58QVXe9NI2']",0.95,0.6,0,0,0,0,0,0,0,donation_needs_or_offers_or_volunteering_services
52,RT @NWTravelers: Los Cabos airport still closed because of Hurricane #Odile damage. Seattle's @AlaskaAIr cancels all flights Tues. to hard-…,"['RT', '@', 'NWTravelers', ':', 'Los', 'Cabos', 'airport', 'still', 'closed', 'Hurricane', '#', 'Odile', 'damage', '.', 'Seattle', ""'s"", '@', 'AlaskaAIr', 'cancels', 'flights', 'Tues.', 'hard-…']",0.1,-0.1,0,0,0,0,0,0,0,infrastructure_and_utilities_damage
53,Hotels Damaged by Odile http://t.co/08LyatKq7q #itravelcabo #cabo,"['Hotels', 'Damaged', 'Odile', 'http', ':', '//t.co/08LyatKq7q', '#', 'itravelcabo', '#', 'cabo']",0.0,0.0,0,0,0,0,0,0,0,infrastructure_and_utilities_damage
54,@latimes We experienced #HurricaneODILE and we created a non-profit to help those we met. #RestoreBaja. Share: https://t.co/9Il9eu2kYY,"['@', 'latimes', 'We', 'experienced', '#', 'HurricaneODILE', 'created', 'non-profit', 'help', 'met', '.', '#', 'RestoreBaja', '.', 'Share', ':', 'https', ':', '//t.co/9Il9eu2kYY']",0.9,0.8,3,0,0,0,0,0,0,donation_needs_or_offers_or_volunteering_services
55,#mashable ||  A Path of Hurricane Odile's Destruction Seen Through Instagram http://t.co/dc0v1JYiDG #niceread,"['#', 'mashable', '||', 'A', 'Path', 'Hurricane', 'Odile', ""'s"", 'Destruction', 'Seen', 'Through', 'Instagram', 'http', ':', '//t.co/dc0v1JYiDG', '#', 'niceread']",0.0,0.0,0,0,0,0,0,0,0,other_useful_information
56,@VICE Rescued from #HurricaneOdile we created non-profit. Pls. Share #RestoreBaja: https://t.co/9Il9eu2kYY,"['@', 'VICE', 'Rescued', '#', 'HurricaneOdile', 'created', 'non-profit', '.', 'Pls', '.', 'Share', '#', 'RestoreBaja', ':', 'https', ':', '//t.co/9Il9eu2kYY']",0.0,0.0,1,0,0,0,0,0,0,donation_needs_or_offers_or_volunteering_services
57,RT @marlinworld: Bisbee's Black &amp; Blue Tournaments  Bisbee's Team is helping to support the victims of Hurricane Odile. Los Cabos... http:/…,"['RT', '@', 'marlinworld', ':', 'Bisbee', ""'s"", 'Black', '&', 'amp', ';', 'Blue', 'Tournaments', 'Bisbee', ""'s"", 'Team', 'helping', 'support', 'victims', 'Hurricane', 'Odile', '.', 'Los', 'Cabos', '...', 'http', ':', '/…']",0.26666666666666666,-0.08333333333333333,0,0,0,0,0,0,0,donation_needs_or_offers_or_volunteering_services
58,Thoughts and prayers with those down in Los Cabos this morning. Hope all is alright. #HurricaneODILE http://t.co/5NVWcQYgys,"['Thoughts', 'prayers', 'Los', 'Cabos', 'morning', '.', 'Hope', 'alright', '.', '#', 'HurricaneODILE', 'http', ':', '//t.co/5NVWcQYgys']",0.2888888888888889,-0.15555555555555559,0,0,0,0,0,0,0,sympathy_and_emotional_support
59,“@bendaviator: #Odile #HurricaneODILE #cabosanlucas . Best video we've seen of damage. https://t.co/RQWvMZJ7ii” @reneblanhir,"['“', '@', 'bendaviator', ':', '#', 'Odile', '#', 'HurricaneODILE', '#', 'cabosanlucas', '.', 'Best', 'video', ""'ve"", 'seen', 'damage', '.', 'https', ':', '//t.co/RQWvMZJ7ii', '”', '@', 'reneblanhir']",0.3,1.0,1,0,0,0,0,0,0,infrastructure_and_utilities_damage
60,Month from hell: grandparents caught in the hurricane in cabo my dog died &amp; my mom is in the hospital. Talk about winning,"['Month', 'hell', ':', 'grandparents', 'caught', 'hurricane', 'cabo', 'dog', 'died', '&', 'amp', ';', 'mom', 'hospital', '.', 'Talk', 'winning']",0.75,0.5,2,0,0,0,0,0,0,injured_or_dead_people
61,Hey Putin!  Didn't you try this humanitarian thing in Georgia?  How did it work out for those folks?  -  -  Ura killer!  #Vikings  #Odile,"['Hey', 'Putin', '!', 'Did', ""n't"", 'try', 'humanitarian', 'thing', 'Georgia', '?', 'How', 'work', 'folks', '?', '-', '-', 'Ura', 'killer', '!', '#', 'Vikings', '#', 'Odile']",0.0,0.0,2,0,2,2,0,1,0,not_related_or_irrelevant
62,Advice for every day but tomorrow especially: please don't do anything stupid. Listen to the warnings. #Odile #stupidmotoristlaw,"['Advice', 'every', 'day', 'tomorrow', 'especially', ':', 'please', ""n't"", 'anything', 'stupid', '.', 'Listen', 'warnings', '.', '#', 'Odile', '#', 'stupidmotoristlaw']",1.0,-0.39999999999999997,0,0,0,0,0,0,0,caution_and_advice
63,@HuffingtonPost We experienced #HurricaneODILE. Were rescued Fri. We created a non-profit #RestoreBaja. Pls. Share: https://t.co/9Il9eu2kYY,"['@', 'HuffingtonPost', 'We', 'experienced', '#', 'HurricaneODILE', '.', 'Were', 'rescued', 'Fri.', 'We', 'created', 'non-profit', '#', 'RestoreBaja', '.', 'Pls', '.', 'Share', ':', 'https', ':', '//t.co/9Il9eu2kYY']",0.9,0.8,2,0,0,0,0,0,0,displaced_people_and_evacuations
64,Hurricane Odile hits Mexico: Hurricane Odile blazed a trail of destruction through Mexico's Baja Ca... http://t.co/lgxbZ7hC25 #hurricane,"['Hurricane', 'Odile', 'hits', 'Mexico', ':', 'Hurricane', 'Odile', 'blazed', 'trail', 'destruction', 'Mexico', ""'s"", 'Baja', 'Ca', '...', 'http', ':', '//t.co/lgxbZ7hC25', '#', 'hurricane']",0.0,0.0,0,0,0,0,0,0,0,infrastructure_and_utilities_damage
65,RT @AzraelGA: @officialga2014 made in mexico we are so proud to help Baja California for the hurricane Odile with bikers clubs http://t.co…,"['RT', '@', 'AzraelGA', ':', '@', 'officialga2014', 'made', 'mexico', 'proud', 'help', 'Baja', 'California', 'hurricane', 'Odile', 'bikers', 'clubs', 'http', ':', '//t.co…']",1.0,0.8,1,0,0,0,0,0,0,donation_needs_or_offers_or_volunteering_services
66,#socialmedia #tech A Path of Hurricane Odile's Destruction Seen Through Instagram: Hurricane Odi... http://t.co/izWC2EeKz9 di @mashable,"['#', 'socialmedia', '#', 'tech', 'A', 'Path', 'Hurricane', 'Odile', ""'s"", 'Destruction', 'Seen', 'Through', 'Instagram', ':', 'Hurricane', 'Odi', '...', 'http', ':', '//t.co/izWC2EeKz9', 'di', '@', 'mashable']",0.0,0.0,0,0,0,0,0,0,0,other_useful_information
67,RT @latitude38: Travel Advisory: Cabo airport closed through Sept. 22 to assess hurricane damage.... http://t.co/XUCQN3cGt3,"['RT', '@', 'latitude38', ':', 'Travel', 'Advisory', ':', 'Cabo', 'airport', 'closed', 'Sept.', '22', 'assess', 'hurricane', 'damage', '....', 'http', ':', '//t.co/XUCQN3cGt3']",0.1,-0.1,0,1,0,0,0,0,0,infrastructure_and_utilities_damage
