,tweet_text,tokenized_text,Subjectivity,polarity,nb_pronouns,nb_numerals,nb_exclm,nb_ques,count_modal_verbs,count_wh_words,nb_slang,label
10,BREAKING NEWS : Emergency #Quarantined #AirFranceFlight - Passenger with #Ebola Symptoms http://t.co/Aej1rg6bl8 via @rdguerard1,"['BREAKING', 'NEWS', ':', 'Emergency', '#', 'Quarantined', '#', 'AirFranceFlight', '-', 'Passenger', '#', 'Ebola', 'Symptoms', 'http', ':', '//t.co/Aej1rg6bl8', 'via', '@', 'rdguerard1']",0.0,0.0,0,0,0,0,0,0,0,treatment
11,A lot of questions and nobody cares...should work rather or dunno. I just wanna learn languages and not historyT..T,"['A', 'lot', 'questions', 'nobody', 'cares', '...', 'work', 'rather', 'dunno', '.', 'I', 'wan', 'na', 'learn', 'languages', 'historyT', '..', 'T']",0.0,0.0,1,0,0,0,0,0,0,not_related_or_irrelevant
12,RT @zeekay15: Hope they can contain d disease frm spreading RT @f4izalhassan: #Ebola #EbolaOutbreak in West Africa (at the moment) http://t…,"['RT', '@', 'zeekay15', ':', 'Hope', 'contain', 'disease', 'frm', 'spreading', 'RT', '@', 'f4izalhassan', ':', '#', 'Ebola', '#', 'EbolaOutbreak', 'West', 'Africa', '(', 'moment', ')', 'http', ':', '//t…']",0.0,0.0,1,0,0,0,0,0,0,prevention
13,Our sister paper @nhregister is live blogging press conf. re: patient treated at Yale Medical for #ebola symptoms: http://t.co/2YsGwn9bGp,"['Our', 'sister', 'paper', '@', 'nhregister', 'live', 'blogging', 'press', 'conf', '.', ':', 'patient', 'treated', 'Yale', 'Medical', '#', 'ebola', 'symptoms', ':', 'http', ':', '//t.co/2YsGwn9bGp']",0.25,0.06818181818181818,1,0,0,0,0,0,0,treatment
14,@cliffmogere @malikanura876 @drsanjaygupta @McKenzieCNN @CNN Polio vaccine? There Is experimental Ebola treatment.,"['@', 'cliffmogere', '@', 'malikanura876', '@', 'drsanjaygupta', '@', 'McKenzieCNN', '@', 'CNN', 'Polio', 'vaccine', '?', 'There', 'Is', 'experimental', 'Ebola', 'treatment', '.']",0.4,0.1,0,0,0,1,0,0,0,treatment
15,Waiting for bae to quit giving me the silent treatment like... http://t.co/mYX0HjbOas,"['Waiting', 'bae', 'quit', 'giving', 'silent', 'treatment', 'like', '...', 'http', ':', '//t.co/mYX0HjbOas']",0.1,0.0,1,0,0,0,0,0,0,not_related_or_irrelevant
16,RT @PatDollard: #Ebola Nurse May Have Infected Up To 1000 Passengers On 6 Different Flights Especially If Disease Is Now Airborne http://…,"['RT', '@', 'PatDollard', ':', '#', 'Ebola', 'Nurse', 'May', 'Have', 'Infected', 'Up', 'To', '1000', 'Passengers', 'On', '6', 'Different', 'Flights', 'Especially', 'If', 'Disease', 'Is', 'Now', 'Airborne', 'http', ':', '//…']",0.8,0.0,0,2,0,0,1,0,0,disease_transmission
17,Hit Hard By #Ebola #Liberia Now Has A Third Treatment Center http://t.co/AccBpdS3vo,"['Hit', 'Hard', 'By', '#', 'Ebola', '#', 'Liberia', 'Now', 'Has', 'A', 'Third', 'Treatment', 'Center', 'http', ':', '//t.co/AccBpdS3vo']",0.21388888888888888,-0.13055555555555556,0,0,0,0,0,0,0,treatment
18,You guys remember the Aztecs? The one that were wiped out by 1 disease? #Chickenpox #Ebola loll,"['You', 'guys', 'remember', 'Aztecs', '?', 'The', 'one', 'wiped', '1', 'disease', '?', '#', 'Chickenpox', '#', 'Ebola', 'loll']",0.0,0.0,1,1,0,2,0,0,0,not_related_or_irrelevant
19,RT @Nader_AlSheraim: Symptoms of #Ebola http://t.co/beY4LDoWye,"['RT', '@', 'Nader_AlSheraim', ':', 'Symptoms', '#', 'Ebola', 'http', ':', '//t.co/beY4LDoWye']",0.0,0.0,0,0,0,0,0,0,0,disease_signs_or_symptoms
20,"DeGette: ""no such thing as Fortress America when it comes to infectious disease"". Place to stop #Ebola is in Africa.","['DeGette', ':', '``', 'thing', 'Fortress', 'America', 'comes', 'infectious', 'disease', ""''"", '.', 'Place', 'stop', '#', 'Ebola', 'Africa', '.']",0.5,0.0,1,0,0,0,0,0,0,other_useful_information
21,"RT @TheGoldBrief: ""@NYCHeartMD: Airborne? CDC Now Confirms Concerns of Airborne Transmission of Ebola http://t.co/eJXysyEfJ8… $tkmr #ebola""","['RT', '@', 'TheGoldBrief', ':', '``', '@', 'NYCHeartMD', ':', 'Airborne', '?', 'CDC', 'Now', 'Confirms', 'Concerns', 'Airborne', 'Transmission', 'Ebola', 'http', ':', '//t.co/eJXysyEfJ8…', '$', 'tkmr', '#', 'ebola', ""''""]",0.0,0.0,0,0,0,1,0,0,0,disease_transmission
22,Heyy guys join @1800_style  participate in #SexySaturday #contest Answer few questions and Win!! @Nehaa_Smiles @silver_tickles @meghashukl,"['Heyy', 'guys', 'join', '@', '1800_style', 'participate', '#', 'SexySaturday', '#', 'contest', 'Answer', 'questions', 'Win', '!', '!', '@', 'Nehaa_Smiles', '@', 'silver_tickles', '@', 'meghashukl']",0.25,0.4,0,0,2,0,0,0,0,not_related_or_irrelevant
23,RT @FahmidaIqbal: Symptoms of #Ebola. May Allah save this country http://t.co/MC9pRcwnuX,"['RT', '@', 'FahmidaIqbal', ':', 'Symptoms', '#', 'Ebola', '.', 'May', 'Allah', 'save', 'country', 'http', ':', '//t.co/MC9pRcwnuX']",0.0,0.0,0,0,0,0,1,0,0,disease_signs_or_symptoms
24,RT @ChapmanNancy: #Ebola Yale research student admitted 2 Yale-New Haven Hospital in CT last night w/Ebola-like symptoms.Just returned from…,"['RT', '@', 'ChapmanNancy', ':', '#', 'Ebola', 'Yale', 'research', 'student', 'admitted', '2', 'Yale-New', 'Haven', 'Hospital', 'CT', 'last', 'night', 'w/Ebola-like', 'symptoms.Just', 'returned', 'from…']",0.06666666666666667,0.0,0,1,0,0,0,0,0,treatment
25,RT @Montel_Williams: POTUS ON #Ebola |  no philosophical objection to a travel ban if  needed. Experts on inf. disease say not most effecti…,"['RT', '@', 'Montel_Williams', ':', 'POTUS', 'ON', '#', 'Ebola', '|', 'philosophical', 'objection', 'travel', 'ban', 'needed', '.', 'Experts', 'inf', '.', 'disease', 'say', 'effecti…']",0.25,-0.125,0,0,0,0,0,0,0,other_useful_information
26,If ur gym doesn't provide make sure to take some wit u when u are goin!A word is enough for the wise! Prevention is better than cure #Ebola,"['If', 'ur', 'gym', ""n't"", 'provide', 'make', 'sure', 'take', 'wit', 'u', 'u', 'goin', '!', 'A', 'word', 'enough', 'wise', '!', 'Prevention', 'better', 'cure', '#', 'Ebola']",0.6972222222222222,0.46875,0,0,2,0,0,0,2,prevention
27,RT @phoebewonderlan: As Africa's health systems struggle to cope with #ebola it is #malaria and other diseases that kill thousands http://…,"['RT', '@', 'phoebewonderlan', ':', 'As', 'Africa', ""'s"", 'health', 'systems', 'struggle', 'cope', '#', 'ebola', '#', 'malaria', 'diseases', 'kill', 'thousands', 'http', ':', '//…']",0.375,-0.125,1,0,0,0,0,0,0,deaths_reports
28,{PUNCHNEWS} Expert cautions against using salt as Ebola treatment: An epidemiologist with the Kwara State mini... http://t.co/bRhjq9q5Jt,"['{', 'PUNCHNEWS', '}', 'Expert', 'cautions', 'using', 'salt', 'Ebola', 'treatment', ':', 'An', 'epidemiologist', 'Kwara', 'State', 'mini', '...', 'http', ':', '//t.co/bRhjq9q5Jt']",0.0,0.0,0,0,0,0,0,0,0,treatment
29,CDC: Ebola Questions and Answers: http://t.co/SzV5Yz7x47  #news,"['CDC', ':', 'Ebola', 'Questions', 'Answers', ':', 'http', ':', '//t.co/SzV5Yz7x47', '#', 'news']",0.0,0.0,0,0,0,0,0,0,0,other_useful_information
30,RT @Oxfam: 7 big questions about the #Ebola outbreak answered http://t.co/ersJWhMYca #EndEbola,"['RT', '@', 'Oxfam', ':', '7', 'big', 'questions', '#', 'Ebola', 'outbreak', 'answered', 'http', ':', '//t.co/ersJWhMYca', '#', 'EndEbola']",0.1,0.0,0,1,0,0,0,0,0,other_useful_information
31,"This my igbo neighbor just said someone can get Ebola disease by following footsteps Jesus!!! what wont i hear?""","['This', 'igbo', 'neighbor', 'said', 'someone', 'get', 'Ebola', 'disease', 'following', 'footsteps', 'Jesus', '!', '!', '!', 'wont', 'hear', '?', ""''""]",0.1,0.0,1,0,3,1,0,0,0,disease_transmission
32,RT @drcindyhaines: Ix Prevention/Control for Hospitalized Patients w Known/Suspected Ebola ... http://t.co/lwXkSIkWDj,"['RT', '@', 'drcindyhaines', ':', 'Ix', 'Prevention/Control', 'Hospitalized', 'Patients', 'w', 'Known/Suspected', 'Ebola', '...', 'http', ':', '//t.co/lwXkSIkWDj']",0.0,0.0,0,0,0,0,0,0,0,prevention
33,a big fat lie “@UNCLE_AJALA: Bitterkola a possible cure for ebola virus disease.#drinkeviron.  http://t.co/Lsc1TQQxIo cc @DrinkEviron”,"['big', 'fat', 'lie', '“', '@', 'UNCLE_AJALA', ':', 'Bitterkola', 'possible', 'cure', 'ebola', 'virus', 'disease.', '#', 'drinkeviron', '.', 'http', ':', '//t.co/Lsc1TQQxIo', 'cc', '@', 'DrinkEviron', '”']",0.55,0.0,0,0,0,0,0,0,0,treatment
34,"#Ebola-affected countries to check for ""signs of virus"" at international departures http://t.co/ud1SlSdKZE #Africa #news #EbolaOutbreak","['#', 'Ebola-affected', 'countries', 'check', '``', 'signs', 'virus', ""''"", 'international', 'departures', 'http', ':', '//t.co/ud1SlSdKZE', '#', 'Africa', '#', 'news', '#', 'EbolaOutbreak']",0.0,0.0,0,0,0,0,0,0,0,disease_signs_or_symptoms
35,@tracysolomon I wonder why he's still kept in isolation.  Scary that it's similar symptoms of Ebola but it's not Ebola.  A bit skeptical.,"['@', 'tracysolomon', 'I', 'wonder', ""'s"", 'still', 'kept', 'isolation', '.', 'Scary', ""'s"", 'similar', 'symptoms', 'Ebola', ""'s"", 'Ebola', '.', 'A', 'bit', 'skeptical', '.']",0.6333333333333333,-0.3333333333333333,4,0,0,0,0,0,0,disease_signs_or_symptoms
36,RT @drjulz_o: Quick EBOLA facts. E- Everyone can get it. B- Body fluids / contact with infected people aids transmission. O-... http://t.co…,"['RT', '@', 'drjulz_o', ':', 'Quick', 'EBOLA', 'facts', '.', 'E-', 'Everyone', 'get', '.', 'B-', 'Body', 'fluids', '/', 'contact', 'infected', 'people', 'aids', 'transmission', '.', 'O-', '...', 'http', ':', '//t.co…']",0.5,0.3333333333333333,1,0,0,0,0,0,0,disease_transmission
37,"RT @cnnbrk: Ebola patient Nancy Writebol ""still very weak"" but ""showed signs of continued improvement.""  http://t.co/FA5p9VNyEa","['RT', '@', 'cnnbrk', ':', 'Ebola', 'patient', 'Nancy', 'Writebol', '``', 'still', 'weak', ""''"", '``', 'showed', 'signs', 'continued', 'improvement', '.', ""''"", 'http', ':', '//t.co/FA5p9VNyEa']",0.8125,-0.48750000000000004,0,0,0,0,0,0,0,affected_people
38,RT @matthewherper: Questions about this new Ebola drug http://t.co/9GpsT44IFq,"['RT', '@', 'matthewherper', ':', 'Questions', 'new', 'Ebola', 'drug', 'http', ':', '//t.co/9GpsT44IFq']",0.45454545454545453,0.13636363636363635,0,0,0,0,0,0,0,treatment
39,Family of Dallas patient zero Thomas to be out of quarantine Sunday; then 21 days with no symptoms of #Ebola http://t.co/WtheyUEwCJ,"['Family', 'Dallas', 'patient', 'zero', 'Thomas', 'quarantine', 'Sunday', ';', '21', 'days', 'symptoms', '#', 'Ebola', 'http', ':', '//t.co/WtheyUEwCJ']",0.0,0.0,0,1,0,0,0,0,0,affected_people
40,New Novation clinical resource guide provides education about effective #Ebola prevention and protection #medical http://t.co/wqVetUzpwT,"['New', 'Novation', 'clinical', 'resource', 'guide', 'provides', 'education', 'effective', '#', 'Ebola', 'prevention', 'protection', '#', 'medical', 'http', ':', '//t.co/wqVetUzpwT']",0.4181818181818182,0.24545454545454545,0,0,0,0,0,0,0,prevention
41,@TheXFactor can i please have a #TXFSign from @jwaltonmusic ?ὤ8 it would mean so much i ❤️ himὠD #TXFSigns Ὂ5Ὂ5,"['@', 'TheXFactor', 'please', '#', 'TXFSign', '@', 'jwaltonmusic', '?', 'ὤ8', 'would', 'mean', 'much', '❤️', 'himὠD', '#', 'TXFSigns', 'Ὂ5Ὂ5']",0.44375,-0.056249999999999994,1,0,0,1,1,0,0,not_related_or_irrelevant
42,Ebola .This disease will never catch u ur wife husband son daughter or any member of ur family in the mighty... http://t.co/BpK2U54aEL,"['Ebola', '.This', 'disease', 'never', 'catch', 'u', 'ur', 'wife', 'husband', 'son', 'daughter', 'member', 'ur', 'family', 'mighty', '...', 'http', ':', '//t.co/BpK2U54aEL']",0.9,0.4,0,0,0,0,0,0,1,other_useful_information
43,@JamesGiard annnnnnd that answers that question.,"['@', 'JamesGiard', 'annnnnnd', 'answers', 'question', '.']",0.0,0.0,0,0,0,0,0,0,0,not_related_or_irrelevant
44,RT @thecrisismag: Despite easier transmission than #Ebola Bush determined Avian flu travel ban would be ineffective. http://t.co/DcmrNCw8e…,"['RT', '@', 'thecrisismag', ':', 'Despite', 'easier', 'transmission', '#', 'Ebola', 'Bush', 'determined', 'Avian', 'flu', 'travel', 'ban', 'would', 'ineffective', '.', 'http', ':', '//t.co/DcmrNCw8e…']",0.0,0.0,0,0,0,0,1,0,0,disease_transmission
45,dear @KLM  i have question via DM please see:) thanks,"['dear', '@', 'KLM', 'question', 'via', 'DM', 'please', 'see', ':', ')', 'thanks']",0.6,0.35,0,0,0,0,0,0,0,not_related_or_irrelevant
46,RT @LibertysLite: Reported boyfriend of 1st infected nurse admitted to hospital w/ #ebola like symptoms. #tcot #EbolaDallas #EbolaOutbreak …,"['RT', '@', 'LibertysLite', ':', 'Reported', 'boyfriend', '1st', 'infected', 'nurse', 'admitted', 'hospital', 'w/', '#', 'ebola', 'like', 'symptoms', '.', '#', 'tcot', '#', 'EbolaDallas', '#', 'EbolaOutbreak', '…']",0.0,0.0,0,0,0,0,0,0,0,disease_signs_or_symptoms
47,RT @janinebucks: Tennessee USA Knoxville http://t.co/aIESGKNQ1y #EbolaOutbreak2014 BREAKING NEWS 476 Ebola Outbreak 2014 Fear treatment an…,"['RT', '@', 'janinebucks', ':', 'Tennessee', 'USA', 'Knoxville', 'http', ':', '//t.co/aIESGKNQ1y', '#', 'EbolaOutbreak2014', 'BREAKING', 'NEWS', '476', 'Ebola', 'Outbreak', '2014', 'Fear', 'treatment', 'an…']",0.0,0.0,0,2,0,0,0,0,0,other_useful_information
48,"RT @Scrivener3: 12/1989: ""The...mode of transmission in nature of #Ebola virus...R unknown""   .@CDCgov .@DrFriedenCDC http://t.co/VLSVnWOvI1","['RT', '@', 'Scrivener3', ':', '12/1989', ':', '``', 'The', '...', 'mode', 'transmission', 'nature', '#', 'Ebola', 'virus', '...', 'R', 'unknown', ""''"", '.', '@', 'CDCgov', '.', '@', 'DrFriedenCDC', 'http', ':', '//t.co/VLSVnWOvI1']",0.6,-0.1,0,0,0,0,0,0,0,disease_transmission
49,Airports on high alert for fliers with Ebola symptoms | Fox News Video http://t.co/6aqz1JvY3e,"['Airports', 'high', 'alert', 'fliers', 'Ebola', 'symptoms', '|', 'Fox', 'News', 'Video', 'http', ':', '//t.co/6aqz1JvY3e']",0.5399999999999999,0.16,0,0,0,0,0,0,0,other_useful_information
50,RT @CityNews: #BREAKING: Brampton Civic Hospital treating patient who came from Africa with fever and other Ebola-like symptoms,"['RT', '@', 'CityNews', ':', '#', 'BREAKING', ':', 'Brampton', 'Civic', 'Hospital', 'treating', 'patient', 'came', 'Africa', 'fever', 'Ebola-like', 'symptoms']",0.375,-0.125,0,0,0,0,0,0,0,disease_signs_or_symptoms
51,RT @GovernorPerry: Today I announced initial recommendations from the Texas Task Force on Infectious Disease. WATCH: http://t.co/zcrqG8vsH2…,"['RT', '@', 'GovernorPerry', ':', 'Today', 'I', 'announced', 'initial', 'recommendations', 'Texas', 'Task', 'Force', 'Infectious', 'Disease', '.', 'WATCH', ':', 'http', ':', '//t.co/zcrqG8vsH2…']",0.0,0.0,1,0,0,0,0,0,0,not_related_or_irrelevant
52,RT @heyyouapp: → USA http://t.co/tzF9kxpHXa → Fear treatment and a serum: The US and the Ebola outbreak → The devastating Ebola outbreak t…,"['RT', '@', 'heyyouapp', ':', '→', 'USA', 'http', ':', '//t.co/tzF9kxpHXa', '→', 'Fear', 'treatment', 'serum', ':', 'The', 'US', 'Ebola', 'outbreak', '→', 'The', 'devastating', 'Ebola', 'outbreak', 't…']",1.0,-1.0,0,0,0,0,0,0,0,treatment
53,More than 100 monitored for Ebola symptoms in Ohio (from @AP) #Ohio #Ebola http://t.co/UPAJil88FC,"['More', '100', 'monitored', 'Ebola', 'symptoms', 'Ohio', '(', '@', 'AP', ')', '#', 'Ohio', '#', 'Ebola', 'http', ':', '//t.co/UPAJil88FC']",0.5,0.5,0,1,0,0,0,0,0,affected_people
54,RT @CDCgov: Clinicians: Have questions about #Ebola &amp; infection control? CDC experts to host special #CDCchat TODAY from 2-3PM ET.,"['RT', '@', 'CDCgov', ':', 'Clinicians', ':', 'Have', 'questions', '#', 'Ebola', '&', 'amp', ';', 'infection', 'control', '?', 'CDC', 'experts', 'host', 'special', '#', 'CDCchat', 'TODAY', '2-3PM', 'ET', '.']",0.5714285714285714,0.35714285714285715,0,0,0,1,0,0,0,disease_transmission
55,Infectious disease specialist clears up misconceptions about Ebola http://t.co/YV2otcVGh6,"['Infectious', 'disease', 'specialist', 'clears', 'misconceptions', 'Ebola', 'http', ':', '//t.co/YV2otcVGh6']",0.0,0.0,0,0,0,0,0,0,0,other_useful_information
56,"RT @wealticrown: ""IBO Boiz @dj_oshea1: Naija guys b lyk:i'm in2 ebola prevention businessi deal in salt&amp;bitter kola""","['RT', '@', 'wealticrown', ':', '``', 'IBO', 'Boiz', '@', 'dj_oshea1', ':', 'Naija', 'guys', 'b', 'lyk', ':', ""'m"", 'in2', 'ebola', 'prevention', 'businessi', 'deal', 'salt', '&', 'amp', ';', 'bitter', 'kola', ""''""]",0.0,0.0,0,0,0,0,0,0,0,not_related_or_irrelevant
57,"RT @Latinatude: .@Morning_Joe: ""We can no longer just trust authorities we've got to ask tough questions."" How abt starting w/ your buddy …","['RT', '@', 'Latinatude', ':', '.', '@', 'Morning_Joe', ':', '``', 'We', 'longer', 'trust', 'authorities', ""'ve"", 'got', 'ask', 'tough', 'questions', '.', ""''"", 'How', 'abt', 'starting', 'w/', 'buddy', '…']",0.4666666666666667,-0.19444444444444445,3,0,0,0,0,1,0,not_related_or_irrelevant
58,Emergency Helpline No. for Ebola virus treatment and information (in India) : 011-23061469  3205 and 1302 .... http://t.co/y9LKSMUKna,"['Emergency', 'Helpline', 'No', '.', 'Ebola', 'virus', 'treatment', 'information', '(', 'India', ')', ':', '011-23061469', '3205', '1302', '....', 'http', ':', '//t.co/y9LKSMUKna']",0.0,0.0,0,2,0,0,0,0,0,treatment
59,Welcome to Olagbende Ayo's Blog: Expert cautions against using salt as Ebola treatment http://t.co/O42emH6i7n,"['Welcome', 'Olagbende', 'Ayo', ""'s"", 'Blog', ':', 'Expert', 'cautions', 'using', 'salt', 'Ebola', 'treatment', 'http', ':', '//t.co/O42emH6i7n']",0.9,0.8,0,0,0,0,0,0,0,treatment
60,#Ebola outbreak began in #Guinea in December 2013. Now involves transmissions in Guinea #Liberia #Nigeria #SierraLeone,"['#', 'Ebola', 'outbreak', 'began', '#', 'Guinea', 'December', '2013', '.', 'Now', 'involves', 'transmissions', 'Guinea', '#', 'Liberia', '#', 'Nigeria', '#', 'SierraLeone']",0.0,0.0,0,1,0,0,0,0,0,prevention
61,RT @CBSRadioNews: While the #Ebola situation in the U.S. appears to have stabilized the disease is still out of control in West Africa. htt…,"['RT', '@', 'CBSRadioNews', ':', 'While', '#', 'Ebola', 'situation', 'U.S.', 'appears', 'stabilized', 'disease', 'still', 'control', 'West', 'Africa', '.', 'htt…']",0.0,0.0,0,0,0,0,0,0,0,other_useful_information
62,'No scientific evidence that the use of bitter kola would either prevent or cure Ebola virus disease'-Honourable Minister of Health,"[""'No"", 'scientific', 'evidence', 'use', 'bitter', 'kola', 'would', 'either', 'prevent', 'cure', 'Ebola', 'virus', ""disease'-Honourable"", 'Minister', 'Health']",0.5,-0.1,0,0,0,0,1,0,0,prevention
63,RT @stephenfhayes: Good questions RT @ron_fournier: Did the White House play a role in the CDC’s delay on #Ebola response? http://t.co/G0iA…,"['RT', '@', 'stephenfhayes', ':', 'Good', 'questions', 'RT', '@', 'ron_fournier', ':', 'Did', 'White', 'House', 'play', 'role', 'CDC', '’', 'delay', '#', 'Ebola', 'response', '?', 'http', ':', '//t.co/G0iA…']",0.30000000000000004,0.35,0,0,0,1,0,0,0,other_useful_information
64,RT @NigeriaNewsdesk: Abia State Health Commissioner Okechukwu Ogah has said that there is no outbreak of Ebola disease in the state - http:…,"['RT', '@', 'NigeriaNewsdesk', ':', 'Abia', 'State', 'Health', 'Commissioner', 'Okechukwu', 'Ogah', 'said', 'outbreak', 'Ebola', 'disease', 'state', '-', 'http', ':', '…']",0.0,0.0,0,0,0,0,0,0,0,other_useful_information
65,Ebola: Signs Symptoms &amp; Prevention Tips http://t.co/9vKLxmdV6L,"['Ebola', ':', 'Signs', 'Symptoms', '&', 'amp', ';', 'Prevention', 'Tips', 'http', ':', '//t.co/9vKLxmdV6L']",0.0,0.0,0,0,0,0,0,0,0,disease_signs_or_symptoms
66,"RT @JonathanHoenig: “@PJHubbell: What are the rules of engagement for our troops and #Ebola?"" // Sacrifice yourself don't ask questions. #…","['RT', '@', 'JonathanHoenig', ':', '“', '@', 'PJHubbell', ':', 'What', 'rules', 'engagement', 'troops', '#', 'Ebola', '?', ""''"", '//', 'Sacrifice', ""n't"", 'ask', 'questions', '.', '#', '…']",0.0,0.0,2,0,0,1,0,1,0,treatment
67,"Gr8 more americans can catch #Ebola    ""@cnnbrk: BO signs executive order authorizing reservists to help fight Ebola in West Africa.""","['Gr8', 'americans', 'catch', '#', 'Ebola', '``', '@', 'cnnbrk', ':', 'BO', 'signs', 'executive', 'order', 'authorizing', 'reservists', 'help', 'fight', 'Ebola', 'West', 'Africa', '.', ""''""]",0.5,0.5,0,0,0,0,0,0,1,other_useful_information
68,U.S. Canada allow emergency use of Tekmira's Ebola treatment: (Reuters) - Canadian drugmaker Tekmira ... http://t.co/2TEe5EWgW4 #health,"['U.S.', 'Canada', 'allow', 'emergency', 'use', 'Tekmira', ""'s"", 'Ebola', 'treatment', ':', '(', 'Reuters', ')', '-', 'Canadian', 'drugmaker', 'Tekmira', '...', 'http', ':', '//t.co/2TEe5EWgW4', '#', 'health']",1.0,-0.75,0,0,0,0,0,0,0,treatment
69,RT @drdavidsamadi: #ebola and #travelban.   if you want to control the disease stop it at it's source.  Once the bird is out of the... http…,"['RT', '@', 'drdavidsamadi', ':', '#', 'ebola', '#', 'travelban', '.', 'want', 'control', 'disease', 'stop', ""'s"", 'source', '.', 'Once', 'bird', '...', 'http…']",0.0,0.0,3,0,0,0,0,0,0,prevention
70,RT @DokteCoffee: When information is quarantined not the disease - NYT Op-Ed http://t.co/SMXekXcwTk,"['RT', '@', 'DokteCoffee', ':', 'When', 'information', 'quarantined', 'disease', '-', 'NYT', 'Op-Ed', 'http', ':', '//t.co/SMXekXcwTk']",0.0,0.0,0,0,0,0,0,1,0,other_useful_information
71,FYI  I still do not believe #EBOLA disease just end up in dead animals  if it did well it was place there in #Africa on purpose #EBOLA,"['FYI', 'I', 'still', 'believe', '#', 'EBOLA', 'disease', 'end', 'dead', 'animals', 'well', 'place', '#', 'Africa', 'purpose', '#', 'EBOLA']",0.4,-0.2,3,0,0,0,0,0,1,other_useful_information
